work_id,domain_id,relation
W4390705788,human,inDomain
W4210660522,plant,inDomain
W3098182612,virus,inDomain
W3088464242,human,inDomain
W4205408709,plant,inDomain
W3047721483,microbiome,inDomain
W3130788486,human,inDomain
W3134169387,plant,inDomain
W4294666709,human,inDomain
W4224943843,microbiome,inDomain
W3185309958,plant,inDomain
W3131947824,virus,inDomain
W4309233014,human,inDomain
W3031702689,human,inDomain
W3025295657,virus,inDomain
W3108785720,human,inDomain
W3098683386,human,inDomain
W3158042772,other,inDomain
W3006857885,plant,inDomain
W3067773676,other,inDomain
W2964962118,microbiome,inDomain
W3124071923,human,inDomain
W3149310107,human,inDomain
W3048434366,other,inDomain
W3026316627,virus,inDomain
W3007157408,plant,inDomain
W3158735354,microbiome,inDomain
W3018187768,plant,inDomain
W3006759334,other,inDomain
W3041011883,tool-method,inDomain
W4385278816,human,inDomain
W4285093403,plant,inDomain
W3034747402,tool-method,inDomain
W3001749974,human,inDomain
W4293051598,plant,inDomain
W3004122056,plant,inDomain
W4405670661,tool-method,inDomain
W3009260711,other,inDomain
W3014884580,virus,inDomain
W4287730743,human,inDomain
W3040417581,tool-method,inDomain
W4319812547,other,inDomain
W4296032784,microbiome,inDomain
W3010767342,microbiome,inDomain
W4309766482,plant,inDomain
W3120875795,human,inDomain
W3080711553,other,inDomain
W3120422619,tool-method,inDomain
W4386316880,human,inDomain
W3075891525,plant,inDomain
W3015494257,other,inDomain
W3196034458,human,inDomain
W3146958471,other,inDomain
W3083864964,microbiome,inDomain
W3035367124,human,inDomain
W3213410277,tool-method,inDomain
W3007052684,plant,inDomain
W3160855197,plant,inDomain
W3027192977,human,inDomain
W3192863794,plant,inDomain
W4205901551,virus,inDomain
W4381661616,virus,inDomain
W3021325701,other,inDomain
W4310071929,human,inDomain
W3113197882,plant,inDomain
W3048671222,virus,inDomain
W3187374982,other,inDomain
W2982414522,human,inDomain
W4206193472,human,inDomain
W3081335591,human,inDomain
W3002838797,microbiome,inDomain
W3136772542,plant,inDomain
W3096491883,other,inDomain
W4318617997,human,inDomain
W4220723349,other,inDomain
W3185283445,microbiome,inDomain
W3035031813,human,inDomain
W3019976500,human,inDomain
W3131376036,human,inDomain
W3004715820,other,inDomain
W3125341911,plant,inDomain
W3015079544,microbiome,inDomain
W4389626322,microbiome,inDomain
W3160568774,virus,inDomain
W1509118950,human,inDomain
W3013112475,human,inDomain
W3013176417,virus,inDomain
W3047931689,microbiome,inDomain
W3109395447,human,inDomain
W3163767046,human,inDomain
W3094193948,other,inDomain
W3158172244,virus,inDomain
W3014787643,plant,inDomain
W3168051882,plant,inDomain
W3200894609,tool-method,inDomain
W3047696772,microbiome,inDomain
W4220666315,human,inDomain
W3107541694,tool-method,inDomain
W3089036867,other,inDomain
W3010808207,plant,inDomain
W3106874121,human,inDomain
W3128142453,other,inDomain
W3003341178,tool-method,inDomain
W3123998375,human,inDomain
W4367173711,other,inDomain
