work_id,tier_id,relation
W3160568774,tier2,hasTier
W1509118950,tier2,hasTier
W3013112475,tier1,hasTier
W3013176417,tier1,hasTier
W3047931689,tier1,hasTier
W3109395447,tier2,hasTier
W3163767046,tier1,hasTier
W3094193948,tier1,hasTier
W3158172244,tier1,hasTier
W3014787643,tier1,hasTier
W3168051882,tier2,hasTier
W3200894609,tier2,hasTier
W3047696772,tier1,hasTier
W4220666315,tier2,hasTier
W3107541694,tier1,hasTier
W3089036867,tier2,hasTier
W3010808207,tier2,hasTier
W3106874121,tier1,hasTier
W3128142453,tier2,hasTier
W3003341178,tier2,hasTier
W3123998375,tier1,hasTier
W4367173711,tier1,hasTier
W3107700078,tier2,hasTier
W3081667585,tier1,hasTier
W3045222827,tier1,hasTier
W3141469998,tier2,hasTier
W3129995686,tier1,hasTier
W3214389270,tier2,hasTier
W3159175200,tier1,hasTier
W3209545809,tier2,hasTier
W4281774004,tier1,hasTier
W4285726620,tier1,hasTier
W4229447746,tier2,hasTier
W3042732083,tier1,hasTier
W3195445434,tier2,hasTier
W3190126839,tier1,hasTier
W3011081894,tier1,hasTier
W3037808763,tier2,hasTier
W3035248535,tier2,hasTier
W3129916067,tier2,hasTier
W3096197416,tier1,hasTier
W3092697065,tier1,hasTier
W4285173471,tier1,hasTier
W4322767187,tier2,hasTier
W4390608966,tier2,hasTier
W3036843213,tier1,hasTier
W3194408081,tier1,hasTier
W3122540149,tier1,hasTier
W3028688800,tier2,hasTier
W2999733722,tier1,hasTier
W3215308585,tier2,hasTier
W3124204293,tier1,hasTier
W3094651023,tier2,hasTier
W3043532768,tier2,hasTier
W4310046323,tier1,hasTier
W3158780063,tier1,hasTier
W3205442753,tier2,hasTier
W3000361107,tier2,hasTier
W3041742174,tier2,hasTier
W3216873694,tier2,hasTier
W3044161677,tier2,hasTier
W3047286145,tier1,hasTier
W3132644980,tier2,hasTier
W3028058903,tier1,hasTier
W3103754182,tier2,hasTier
W4213358058,tier1,hasTier
W3042072141,tier2,hasTier
W3005785227,tier1,hasTier
W4306252584,tier2,hasTier
W3011864366,tier2,hasTier
W3179423943,tier1,hasTier
W4308266113,tier2,hasTier
W3182508478,tier1,hasTier
W3005408857,tier2,hasTier
W3006367816,tier1,hasTier
W3032815243,tier1,hasTier
W3073875730,tier2,hasTier
W3156624423,tier2,hasTier
W3182837943,tier1,hasTier
W3007397157,tier2,hasTier
W3161708162,tier1,hasTier
W4308616062,tier2,hasTier
W3110696950,tier1,hasTier
W4226000574,tier2,hasTier
W4389670704,tier2,hasTier
W3089213722,tier2,hasTier
W3039234910,tier2,hasTier
W3169130294,tier2,hasTier
W4386369120,tier2,hasTier
W3196442233,tier2,hasTier
W3138297312,tier2,hasTier
W3093352013,tier1,hasTier
W3017216879,tier1,hasTier
W4388534600,tier1,hasTier
W3108429045,tier2,hasTier
W3194572293,tier2,hasTier
W3107762183,tier1,hasTier
W3083031381,tier1,hasTier
W3099124058,tier2,hasTier
W3016299625,tier1,hasTier
W3007324177,tier1,hasTier
W3146423745,tier2,hasTier
W3201343058,tier2,hasTier
W3162057263,tier2,hasTier
W3183741867,tier2,hasTier
W3034934451,tier2,hasTier
W3022396962,tier2,hasTier
W3080967255,tier1,hasTier
W3031411888,tier2,hasTier
W3184440907,tier1,hasTier
W3097452331,tier2,hasTier
W4378976294,tier1,hasTier
W3121486804,tier1,hasTier
W659378956,tier1,hasTier
W3008479721,tier1,hasTier
W3139367551,tier2,hasTier
W4205681504,tier1,hasTier
W3199434319,tier2,hasTier
W4205950007,tier1,hasTier
W3017342212,tier2,hasTier
W3005235420,tier2,hasTier
W3160025918,tier1,hasTier
W4389132747,tier2,hasTier
W3176204079,tier1,hasTier
W3188348639,tier1,hasTier
W4307584884,tier2,hasTier
W3048293476,tier2,hasTier
W3106975553,tier1,hasTier
W3006038767,tier1,hasTier
W4210701812,tier1,hasTier
W3164117052,tier2,hasTier
W3110169235,tier2,hasTier
W3031374097,tier1,hasTier
W3161034134,tier2,hasTier
W3084301609,tier2,hasTier
W3043763415,tier2,hasTier
W3111525365,tier2,hasTier
W3138098406,tier2,hasTier
W3048367870,tier2,hasTier
W3024872414,tier1,hasTier
W2999916586,tier2,hasTier
W4283759841,tier2,hasTier
W4206409428,tier2,hasTier
W3080097995,tier2,hasTier
W3024108179,tier1,hasTier
W3162125475,tier2,hasTier
W3028632011,tier1,hasTier
W3131612759,tier1,hasTier
W3181792462,tier2,hasTier
W4320494454,tier1,hasTier
W3161622382,tier2,hasTier
W3020908563,tier2,hasTier
W3014099245,tier1,hasTier
W4280649038,tier1,hasTier
W4210494137,tier2,hasTier
W4205236321,tier1,hasTier
W3217739320,tier1,hasTier
W2998989016,tier2,hasTier
W3164567439,tier2,hasTier
W3164961447,tier1,hasTier
W3208266771,tier2,hasTier
W4281561633,tier2,hasTier
W3022107839,tier1,hasTier
W4207084580,tier1,hasTier
W3046061267,tier2,hasTier
W3093771475,tier2,hasTier
W3012944241,tier2,hasTier
W3099982573,tier2,hasTier
W3210200039,tier1,hasTier
W3117945779,tier2,hasTier
W4391100251,tier2,hasTier
W3105859013,tier1,hasTier
W4221132928,tier1,hasTier
W3029265305,tier1,hasTier
W3167867098,tier1,hasTier
W4391997401,tier1,hasTier
W3157128367,tier1,hasTier
W3010627043,tier2,hasTier
W3016662794,tier2,hasTier
W3173730881,tier1,hasTier
W3008435731,tier1,hasTier
W3099945355,tier1,hasTier
W4378189287,tier2,hasTier
W3194095174,tier2,hasTier
W3125922838,tier2,hasTier
W3083358975,tier2,hasTier
W4221042877,tier1,hasTier
W2999869862,tier1,hasTier
W3146196870,tier2,hasTier
W3007553916,tier1,hasTier
W3037349235,tier2,hasTier
W3036555894,tier2,hasTier
W4308174537,tier1,hasTier
W3207939327,tier2,hasTier
W3003501768,tier2,hasTier
W3037775055,tier2,hasTier
W4327909816,tier2,hasTier
W3011565822,tier1,hasTier
W3172652410,tier2,hasTier
W4206641739,tier2,hasTier
W3028202170,tier2,hasTier
W3018615967,tier2,hasTier
W3199195377,tier1,hasTier
W3129515806,tier1,hasTier
W3016609678,tier1,hasTier
W3170431728,tier2,hasTier
W4328049762,tier2,hasTier
W3163150242,tier2,hasTier
W4293116279,tier1,hasTier
W3042122970,tier2,hasTier
W3019415451,tier2,hasTier
W3088101909,tier1,hasTier
W3135025442,tier2,hasTier
W3106204292,tier2,hasTier
W3023051623,tier1,hasTier
W3043453458,tier2,hasTier
W3043527810,tier2,hasTier
W3202168308,tier1,hasTier
W3008209667,tier1,hasTier
W4225129690,tier2,hasTier
W3194895608,tier1,hasTier
W3024064700,tier2,hasTier
W3107101620,tier2,hasTier
W3002832353,tier1,hasTier
W3011613560,tier2,hasTier
W3022164816,tier2,hasTier
W3002194232,tier1,hasTier
W3200130214,tier2,hasTier
W3195370685,tier1,hasTier
W3089959412,tier2,hasTier
W3004293435,tier1,hasTier
W4206621711,tier2,hasTier
W4313611824,tier2,hasTier
W4393035934,tier2,hasTier
W3010020071,tier1,hasTier
W4206495906,tier2,hasTier
W4313250582,tier1,hasTier
W3042958967,tier2,hasTier
W3040709534,tier1,hasTier
